"filename", "language", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\projects\cylinderManagement\src\app\modules\auth\auth.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\auth\auth.component.ts", "TypeScript", 0, 50, 0, 0, 9, 59
"c:\projects\cylinderManagement\src\app\modules\auth\auth.module.ts", "TypeScript", 0, 16, 0, 0, 4, 20
"c:\projects\cylinderManagement\src\app\modules\home\components\info-card\info-card.component.html", "HTML", 0, 0, 6, 0, 0, 6
"c:\projects\cylinderManagement\src\app\modules\home\components\info-card\info-card.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\home\components\info-card\info-card.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\home\components\info-card\info-card.component.ts", "TypeScript", 0, 37, 0, 0, 7, 44
"c:\projects\cylinderManagement\src\app\modules\home\home-routing.module.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\projects\cylinderManagement\src\app\modules\home\home.component.html", "HTML", 0, 0, 5, 0, 0, 5
"c:\projects\cylinderManagement\src\app\modules\home\home.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\home\home.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\home\home.component.ts", "TypeScript", 0, 25, 0, 0, 5, 30
"c:\projects\cylinderManagement\src\app\modules\home\home.module.ts", "TypeScript", 0, 16, 0, 0, 4, 20
"c:\projects\cylinderManagement\src\app\modules\patient\pages\create-new\create-new.component.html", "HTML", 0, 0, 169, 0, 4, 173
"c:\projects\cylinderManagement\src\app\modules\patient\pages\create-new\create-new.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\patient\pages\create-new\create-new.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\patient\pages\create-new\create-new.component.ts", "TypeScript", 0, 154, 0, 0, 10, 164
"c:\projects\cylinderManagement\src\app\modules\patient\pages\list-patient\list-patient.component.html", "HTML", 0, 0, 22, 0, 1, 23
"c:\projects\cylinderManagement\src\app\modules\patient\pages\list-patient\list-patient.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\projects\cylinderManagement\src\app\modules\patient\pages\list-patient\list-patient.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\patient\pages\list-patient\list-patient.component.ts", "TypeScript", 0, 19, 0, 0, 5, 24
"c:\projects\cylinderManagement\src\app\modules\patient\pages\view-patient\view-patient.component.html", "HTML", 0, 0, 6, 0, 1, 7
"c:\projects\cylinderManagement\src\app\modules\patient\pages\view-patient\view-patient.component.scss", "SCSS", 3, 0, 0, 0, 0, 3
"c:\projects\cylinderManagement\src\app\modules\patient\pages\view-patient\view-patient.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\projects\cylinderManagement\src\app\modules\patient\pages\view-patient\view-patient.component.ts", "TypeScript", 0, 58, 0, 0, 10, 68
"c:\projects\cylinderManagement\src\app\modules\patient\patient-routing.module.ts", "TypeScript", 0, 16, 0, 0, 3, 19
"c:\projects\cylinderManagement\src\app\modules\patient\patient.module.ts", "TypeScript", 0, 23, 0, 0, 4, 27
"c:\projects\cylinderManagement\src\app\modules\report\report-routing.module.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\projects\cylinderManagement\src\app\modules\report\report.component.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\projects\cylinderManagement\src\app\modules\report\report.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
